country,unempbenefits,afp_totlabforce,afp_total,cgd_total,cureduexpen_pri,cureduexpen_sec,cureduexpen_ter,cureduexpen_total,eduattain_doctoral,eduattain_bachelor,eduattain_master,eduattain_sec,eduattain_postsec,eduattain_primary,eduattain_tertiary,eduattain_uppersec,expense,life_expectatbirth_fem,life_expectatbirth_male,life_expectatbirth_total,milexp_gdp,milexp_usd,peacekeepers,suic_mortalityrate_pop,suic_mortalityrate_female,suic_mortalityrate_male,totalreserves,unemptotal_modeiloest,unemptotal_nationalest,score,socialsupport,pay_usd
Colombia,,,,,95.4101867675781,95.5542297363281,57.325008392334,87.3600769042969,,11.7552995681763,3.57410001754761,54.4446983337402,21.2513294219971,78.9025573730469,21.2513294219971,49.7744789123535,27.4818336478262,79.859,74.33,77.109,3.06970146874402,10134719590.5505,,,,,36.0756422873131,9.11100006103516,9.11069965362549,6.125,1.41,34875.000000000000
Comoros,,,,,,,,,,,,,,,,,,65.9,62.399,64.118,,,,,,,77.9412780354341,4.30200004577637,,3.9730000000000003,0.757,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,61.901,58.852,60.368,0.597225957143658,295348364.63547,,,,,13.4244038832498,4.19299983978271,,4.418,1.125,
"Congo, Rep.",,,,,,,,,,,,,,,,,21.4480750316914,65.703,62.837,64.29,2.56934327403076,292260465.250187,,,,,9.81925805196099,9.67000007629395,,4.812,0.799,
Costa Rica,,,,,98.2315292358398,99.7056884765625,100,97.3960037231445,0.314749985933304,21.3097190856934,2.82293009757996,54.5584602355957,22.2299098968506,81.9713897705078,22.2299098968506,39.6567306518555,29.8105117251284,82.73,77.539,80.095,0,0,,,,,26.4405642847084,9.63199996948242,9.63199996948242,7.167000000000001,1.4409999999999998,
Cote d'Ivoire,,,,,98.9734802246094,90.4021072387695,82.0759124755859,94.6153182983398,,,,,,,,,14.9407041803262,58.741,56.251,57.422,1.33170810960433,607848217.884494,,,,,,3.21000003814697,,4.944,0.8079999999999999,
Croatia,,,,,,,,,,,,,,,,,38.9188286135809,81.4,74.9,78.0707317073171,1.58931904020662,966358716.798887,,,,,,8.43200016021729,8.43220043182373,5.432,1.266,
Cuba,,,,,,,,,,,,,,,,,,80.706,76.763,78.726,2.87620737245072,128609126.95598,,,,,,1.70000004768372,1.70000004768372,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4300003051758,,,
Cyprus,,,,,,,,,0.755309998989105,28.5615997314453,12.2083597183228,81.7732925415039,39.1660614013672,95.5756301879883,37.7907295227051,72.9814376831055,39.8025945724388,82.913,78.735,80.828,1.78438525236198,445191978.565443,,,,,,8.36999988555908,8.36970043182373,6.046,1.2229999999999999,
Czech Republic,,,,,,,,,,,,,,,,,32.612580763685,82,76.2,79.0292682926829,1.10520352098377,2710017583.30521,,,,,,2.24300003051758,2.24329996109009,6.852,1.4869999999999999,29117.647058823529
Denmark,,,,,,,,,0.77863997220993,32.3588409423828,12.7257099151611,93.8091125488281,37.1166496276855,,37.1166496276855,79.2777328491211,37.191098180561,82.9,79.1,80.9536585365854,1.29489497814038,4558690186.91182,,,,,,4.97499990463257,5.13119983673096,7.6,1.5730000000000002,77500.000000000000
Djibouti,,,,,,,,,,,,,,,,,,68.778,64.629,66.582,,,,,,,19.5673377637129,10.2569999694824,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5330165805819,,,,,
Dominican Republic,,,,,92.3336029052734,90.2788925170898,,,,,,,,,,,15.704552140793,77.196,70.805,73.892,0.730390766905203,593678722.089905,,,,,22.71604576027,5.73899984359741,5.86129999160767,5.425,1.401,
Ecuador,,,,,99.9498291015625,99.9498291015625,,,,,,,,,,,,79.645,74.058,76.8,2.35189152314743,2549400000,,,,,4.80404145936708,3.52999997138977,3.52959990501404,6.028,1.3119999999999998,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,74.162,69.599,71.825,1.24996619642133,3119587363.84249,,,,,41.7615401896263,11.5920000076294,9.81729984283447,4.166,1.0390000000000001,16250.000000000000
El Salvador,,,,,95.1532135009766,88.2440338134766,99.1083831787109,93.3036727905273,,,,,,,,,24.6356834906997,77.635,68.229,73.096,1.13622300573542,294610000,,,,,20.5204023746264,4.00600004196167,4.00570011138916,6.252999999999999,1.242,
Equatorial Guinea,,,,,,,,,,,,,,,,,10.1803301887977,59.587,57.41,58.402,1.07214133360045,149498690.044337,,,,,,6.38299989700317,,,,
Eritrea,,,,,,,,,,,,,,,,,,68.162,63.79,65.941,,,,,,,20.6058783706868,5.10400009155273,,,,
Estonia,,,,,,,,,,,,,40.2903594970703,,40.2903594970703,87.6303024291992,35.4111679993289,82.7,74,78.2439024390244,1.9742006546607,606682955.041724,,,,,,5.36600017547607,5.36600017547607,5.893,1.528,
Eswatini,,,,,,,,,,,,,,,,,,63.968,55.284,59.401,1.85815479151977,90802432.5474614,,,,,85.5044327000899,22.3610000610352,,4.212,1.149,
Ethiopia,,,,,,,,,,,,,,,,,10.8174753935638,68.165,64.35,66.24,0.639015250979108,512029056.710603,,,,,14.3468128651718,2.07500004768372,,4.2860000000000005,1.033,
Faroe Islands,,,,,,,,,,,,,,,,,,84.7,80.5,82.5487804878049,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,28.2514016500584,69.178,65.641,67.341,1.64698362081906,83136888.7991532,,,,,96.7515794295665,4.15799999237061,,,,
Finland,,,,,,,,,,,,,,,,,37.3235544852951,84.5,79.1,81.7341463414634,1.37141527643734,3756949116.5327,,,,,,7.36100006103516,7.36119985580444,7.769,1.587,67500.000000000000
France,,,,,,,,,,,,,,,,,46.9696745057689,85.9,79.7,82.7243902439024,1.85101019218304,51409812838.5917,,,,,,9.05900001525879,9.01650047302246,6.5920000000000005,1.472,50541.666666666667
French Polynesia,,,,,,,,,,,,,,,,,,79.725,75.401,77.462,,,,,,,,12.3140001296997,,,,
Gabon,,,,,,,,,,,,,,,,,13.7017325838068,68.323,64.152,66.187,1.54871171908121,261217395.059596,,,,,19.5234330308488,19.806999206543,,4.7989999999999995,1.183,
"Gambia, The",,,,,,,,,,,,,,,,,,63.151,60.362,61.735,0.710232461194007,11487224.9434107,,,,,27.5428744019574,9.02700042724609,10.1648998260498,4.516,0.9390000000000001,
Georgia,,,,,,,,,,,,,,,,,21.3987183684085,77.989,69.174,73.6,2.01984268293955,327440140.897528,,,,,18.9855195641062,13.7849998474121,12.6669998168945,4.519,0.6659999999999999,
Germany,,,,,,,,,1.25295996665955,25.1498794555664,11.1985902786255,96.3322525024414,35.5881805419922,100,25.7418899536133,83.4613037109375,28.0656745515598,83.3,78.6,80.8926829268293,1.17827871916086,46511573008.5101,,,,,,3.3840000629425,3.38350009918213,6.985,1.454,70663.841807909605
Ghana,,,,,,,,,,,,,,,,,18.0697923348592,64.852,62.724,63.78,0.419660326452183,218444253.592195,,,,,26.9860132187162,4.15700006484985,,4.996,0.868,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,46.5504416828908,84.4,79.3,81.7878048780488,2.64062841597431,5757114360.91734,,,,,,19.2919998168945,19.2915992736816,5.287000000000001,1.156,20357.142857142857
Greenland,,,,,,,,,0.128710001707077,10.8007402420044,3.21502995491028,100,14.3854703903198,100,13.695369720459,42.7401695251465,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,74.941,70.064,72.384,,,,,,,42.5232458294459,,,,,
Guam,,,,,,,,,,,,,,,,,,83.365,76.607,79.859,,,,,,,,4.92899990081787,,,,
Guatemala,,,,,94.9454498291016,85.6745529174805,87.8368377685547,92.3878631591797,,,,,,,,,12.485438629466,76.937,71.119,74.063,0.348125359282307,273114976.844026,,,,,53.7562886467855,2.40199995040894,,6.436,1.2690000000000001,
Guinea,,,,,94.0970993041992,89.4920196533203,72.61669921875,87.6337509155273,,,,,,,,,,61.666,60.477,61.185,2.32499618442123,197079526.352476,,,,,46.7416932225818,4.24700021743774,,4.534,0.8290000000000001,
Guinea-Bissau,,,,,,,,,,,,,,,,,,59.913,55.965,58.003,,,,,,,,2.43799996376038,,,,
Guyana,,,,,,,,,,,,,,,,,,72.972,66.783,69.774,1.59694045546261,62229355.5514482,,,,,32.2457853481272,11.9060001373291,14.0190000534058,,,
